61910_2019.jpg : k=30, PSNR=36.22dB; k=10, PSNR=22.65dB; k=5, PSNR=19.00dB; k=3, PSNR=16.83dB; k=1, PSNR=14.20dB; 
61911_2019.jpg : k=30, PSNR=37.43dB; k=10, PSNR=24.02dB; k=5, PSNR=20.64dB; k=3, PSNR=18.39dB; k=1, PSNR=15.57dB; 
61912_2019.jpg : k=30, PSNR=37.00dB; k=10, PSNR=23.18dB; k=5, PSNR=19.16dB; k=3, PSNR=17.20dB; k=1, PSNR=14.39dB; 
61913_2019.jpg : k=30, PSNR=35.96dB; k=10, PSNR=23.25dB; k=5, PSNR=19.88dB; k=3, PSNR=18.27dB; k=1, PSNR=15.47dB; 
61914_2019.jpg : k=30, PSNR=36.07dB; k=10, PSNR=22.68dB; k=5, PSNR=18.27dB; k=3, PSNR=16.22dB; k=1, PSNR=13.89dB; 
61915_2019.jpg : k=30, PSNR=34.84dB; k=10, PSNR=22.68dB; k=5, PSNR=19.36dB; k=3, PSNR=17.63dB; k=1, PSNR=15.03dB; 
61916_2019.jpg : k=30, PSNR=32.18dB; k=10, PSNR=21.10dB; k=5, PSNR=17.89dB; k=3, PSNR=16.13dB; k=1, PSNR=13.07dB; 
61917_2019.jpg : k=30, PSNR=37.37dB; k=10, PSNR=24.47dB; k=5, PSNR=20.76dB; k=3, PSNR=19.08dB; k=1, PSNR=16.19dB; 
61918_2019.jpg : k=30, PSNR=37.00dB; k=10, PSNR=24.75dB; k=5, PSNR=21.49dB; k=3, PSNR=19.76dB; k=1, PSNR=17.08dB; 
61919_2019.jpg : k=30, PSNR=35.56dB; k=10, PSNR=22.95dB; k=5, PSNR=19.03dB; k=3, PSNR=16.72dB; k=1, PSNR=13.95dB; 
61920_2019.jpg : k=30, PSNR=39.43dB; k=10, PSNR=26.95dB; k=5, PSNR=24.07dB; k=3, PSNR=22.58dB; k=1, PSNR=21.10dB; 
61921_2019.jpg : k=30, PSNR=40.04dB; k=10, PSNR=25.04dB; k=5, PSNR=20.91dB; k=3, PSNR=18.89dB; k=1, PSNR=15.34dB; 
61922_2019.jpg : k=30, PSNR=39.08dB; k=10, PSNR=23.95dB; k=5, PSNR=20.08dB; k=3, PSNR=17.78dB; k=1, PSNR=15.23dB; 
61923_2019.jpg : k=30, PSNR=35.57dB; k=10, PSNR=22.63dB; k=5, PSNR=19.48dB; k=3, PSNR=17.76dB; k=1, PSNR=14.28dB; 
61924_2019.jpg : k=30, PSNR=34.91dB; k=10, PSNR=23.34dB; k=5, PSNR=20.35dB; k=3, PSNR=18.57dB; k=1, PSNR=16.13dB; 
61925_2019.jpg : k=30, PSNR=40.50dB; k=10, PSNR=26.12dB; k=5, PSNR=22.63dB; k=3, PSNR=20.94dB; k=1, PSNR=18.38dB; 
61926_2019.jpg : k=30, PSNR=38.64dB; k=10, PSNR=25.29dB; k=5, PSNR=22.26dB; k=3, PSNR=20.63dB; k=1, PSNR=17.85dB; 
61927_2019.jpg : k=30, PSNR=39.36dB; k=10, PSNR=24.53dB; k=5, PSNR=21.15dB; k=3, PSNR=19.81dB; k=1, PSNR=17.84dB; 
61928_2019.jpg : k=30, PSNR=37.84dB; k=10, PSNR=23.90dB; k=5, PSNR=20.58dB; k=3, PSNR=18.29dB; k=1, PSNR=15.80dB; 
61929_2019.jpg : k=30, PSNR=37.64dB; k=10, PSNR=24.21dB; k=5, PSNR=20.36dB; k=3, PSNR=18.19dB; k=1, PSNR=14.19dB; 
61930_2019.jpg : k=30, PSNR=35.05dB; k=10, PSNR=23.37dB; k=5, PSNR=19.77dB; k=3, PSNR=18.10dB; k=1, PSNR=15.24dB; 
61931_2019.jpg : k=30, PSNR=39.34dB; k=10, PSNR=25.83dB; k=5, PSNR=22.41dB; k=3, PSNR=20.44dB; k=1, PSNR=16.35dB; 
61932_2019.jpg : k=30, PSNR=38.71dB; k=10, PSNR=24.80dB; k=5, PSNR=21.41dB; k=3, PSNR=19.76dB; k=1, PSNR=17.88dB; 
61933_2019.jpg : k=30, PSNR=38.85dB; k=10, PSNR=25.71dB; k=5, PSNR=22.56dB; k=3, PSNR=20.87dB; k=1, PSNR=18.22dB; 
61934_2019.jpg : k=30, PSNR=36.21dB; k=10, PSNR=22.29dB; k=5, PSNR=19.52dB; k=3, PSNR=17.10dB; k=1, PSNR=13.78dB; 
61935_2019.jpg : k=30, PSNR=35.09dB; k=10, PSNR=23.04dB; k=5, PSNR=19.65dB; k=3, PSNR=17.97dB; k=1, PSNR=15.06dB; 
61936_2019.jpg : k=30, PSNR=33.39dB; k=10, PSNR=21.73dB; k=5, PSNR=19.15dB; k=3, PSNR=17.39dB; k=1, PSNR=15.26dB; 
61937_2019.jpg : k=30, PSNR=38.37dB; k=10, PSNR=24.76dB; k=5, PSNR=21.44dB; k=3, PSNR=19.83dB; k=1, PSNR=16.95dB; 
61938_2019.jpg : k=30, PSNR=36.70dB; k=10, PSNR=23.50dB; k=5, PSNR=20.55dB; k=3, PSNR=19.30dB; k=1, PSNR=16.54dB; 
61939_2019.jpg : k=30, PSNR=37.11dB; k=10, PSNR=24.56dB; k=5, PSNR=20.90dB; k=3, PSNR=18.35dB; k=1, PSNR=16.00dB; 
61940_2019.jpg : k=30, PSNR=33.45dB; k=10, PSNR=21.73dB; k=5, PSNR=18.73dB; k=3, PSNR=16.84dB; k=1, PSNR=14.17dB; 
